entry_ts,exit_ts,side,entry_z,exit_z,entry_spread,exit_spread,hold_ticks,pnl,exit_reason
1773290829697,1773290860428,SHORT_SPREAD,3.5234219494398626,0.9982553719059999,0.4725360091884505,0.4723913356407131,152,-0.0013329413059112378,mean_revert
1773291082958,1773291082968,LONG_SPREAD,-3.5405080256637427,-0.4007826369248068,0.47170836585546244,0.47191534091570675,65,-0.0012706141754207257,mean_revert
1773291391766,1773291397356,SHORT_SPREAD,4.2649191672427005,0.9694918692302432,0.4718943772645992,0.47164607745114606,29,-0.0012292939991103923,mean_revert
1773291474428,1773291483252,SHORT_SPREAD,4.100722386075843,0.9721536340314265,0.47210137374639827,0.4718530953589343,60,-0.0012292593910911069,mean_revert
1773291689244,1773291694869,SHORT_SPREAD,3.684698539239541,0.8024919747075647,0.47127313060970455,0.4710247664650206,47,-0.0012294167890304006,mean_revert
1773291729054,1773291740536,SHORT_SPREAD,3.588218810660098,0.5774678110990298,0.47177066736796935,0.47131557107562877,73,-0.0010636796442121147,mean_revert
1773291904603,1773291925714,LONG_SPREAD,-3.513977985554694,-0.8537494954523221,0.4729291151454121,0.4729082650913557,178,-0.001498742055481961,mean_revert
1773292802390,1773292835749,LONG_SPREAD,-3.989025577964228,-0.9236263222993546,0.46975942507595203,0.4695304158727554,181,-0.0017069862968497902,mean_revert
1773293160016,1773293168567,SHORT_SPREAD,3.5980098666653317,0.8306497354816502,0.4694052095563887,0.46884468847830996,68,-0.0009174672065486254,mean_revert
1773293346149,1773293375600,SHORT_SPREAD,3.805455723052755,0.6489084024399566,0.4686153155343446,0.4683662484239696,91,-0.0012702241521500793,mean_revert
1773293431847,1773293455196,SHORT_SPREAD,3.776240716266295,0.9384507133651452,0.46913487703613477,0.46915629585553914,190,-0.0014995592319939407,mean_revert
1773293520690,1773293522678,LONG_SPREAD,-3.8174193836111847,-0.9074823303817802,0.4687407977712402,0.4689897546272722,33,-0.0012291947422993794,mean_revert
1773294292958,1773294330547,LONG_SPREAD,-3.6112679914917356,-0.9817533988612472,0.4702173092137569,0.4701957508734996,204,-0.0014995266968464028,mean_revert
1773294438221,1773294441820,LONG_SPREAD,-3.8831138869502793,-0.6959528890213866,0.46963625570667805,0.4699883895456441,31,-0.0011257836855396754,mean_revert
1773294663123,1773294701728,LONG_SPREAD,-3.50499026977388,-0.8675560526999336,0.4690137844758725,0.4687433177931846,248,-0.0017894092773329678,mean_revert
