entry_ts,exit_ts,side,entry_spread,exit_spread,pnl
1745136000000,1745294400000,SHORT_SPREAD,-2.2368010364807294,-2.4047746753453247,-0.030180351845840458
1748592000000,1748664000000,SHORT_SPREAD,-2.316278228367267,-2.429485243008165,-0.07002433624166712
1751155200000,1751515200000,SHORT_SPREAD,-2.349055131233886,-2.4323621465440106,-0.06311449150536495
1755129600000,1755360000000,LONG_SPREAD,-2.690094809524681,-2.6216819632810306,-0.07419841654832017
1755676800000,1755892800000,SHORT_SPREAD,-2.392506626850916,-2.5045064489592543,0.008687265170638826
1760155200000,1760212800000,LONG_SPREAD,-2.696675585566796,-2.653888044622099,0.0418874854788225
1763251200000,1764504000000,SHORT_SPREAD,-2.5033598636010614,-2.4784992822474288,-0.04889274749500527
1767038400000,1767283200000,SHORT_SPREAD,-2.4320364906627714,-2.4970361017197704,-0.006934353016666225
1771113600000,1771257600000,LONG_SPREAD,-2.5993368467926343,-2.407276495895746,0.18458568930461874
1771272000000,1771344000000,SHORT_SPREAD,-2.3755862588639234,-2.5011479859773655,0.2733311205064781
1771833600000,1771920000000,LONG_SPREAD,-2.67626777991334,-2.522766485235975,0.41153580762718317
1772035200000,1772510400000,LONG_SPREAD,-2.698876157808968,-2.6412803744074886,0.42177168399349296
