entry_ts,exit_ts,side,entry_spread,exit_spread,pnl
1745136000000,1745352000000,SHORT_SPREAD,-2.236814096039126,-2.4330713809341677,-0.0011751955250414291
1748592000000,1748678400000,SHORT_SPREAD,-2.3162874673488805,-2.473688944164686,0.002112245452819494
1749355200000,1749542400000,LONG_SPREAD,-2.5255713001873388,-2.4732517747277853,0.027705576577522498
1749787200000,1749974400000,LONG_SPREAD,-2.5429634608516927,-2.4841849359864234,0.07969342939175762
1751155200000,1751644800000,SHORT_SPREAD,-2.349070528357286,-2.448045323611316,0.10240854622661617
1752739200000,1753675200000,LONG_SPREAD,-2.5901134091519107,-2.536753694261364,0.10050779499198884
1755115200000,1755604800000,LONG_SPREAD,-2.6149521688324007,-2.6272030114360123,0.06746147330675334
1755662400000,1755993600000,SHORT_SPREAD,-2.416776998065312,-2.548131022822187,0.12013358940709892
1760126400000,1760371200000,LONG_SPREAD,-2.6797079133737256,-2.63878405674846,0.1200186716133031
1762617600000,1762732800000,SHORT_SPREAD,-2.554876389931179,-2.617227940294649,0.1381757900771781
1763236800000,1764691200000,SHORT_SPREAD,-2.567770885321798,-2.5184724304760753,0.07024634923137738
1765972800000,1766088000000,LONG_SPREAD,-2.562818207000394,-2.5087534130896754,0.09240094075103734
1767024000000,1767312000000,SHORT_SPREAD,-2.4538386021003857,-2.502069176568076,0.07351678093307679
1767384000000,1768017600000,LONG_SPREAD,-2.57240997145817,-2.5389231855080343,0.08707885426461
1769860800000,1769947200000,SHORT_SPREAD,-2.4693436387176915,-2.5186769225830536,0.12678094663516326
1770681600000,1771257600000,LONG_SPREAD,-2.5642534318353887,-2.4073104337110953,0.29446498668000376
1771272000000,1771372800000,SHORT_SPREAD,-2.3756198472001584,-2.509822181270466,0.39173200102688194
1771588800000,1771920000000,LONG_SPREAD,-2.607389321846863,-2.522802891025259,0.4507098773905003
1772020800000,1772798400000,LONG_SPREAD,-2.654113710040737,-2.616956083525684,0.44475984532578955
